1760743-1796741 Timing: Time: 17.999 ms (55.559 Hz)
1796741-1796783 Timing: Time: 21.000 μs (47.619 kHz)
1796783-1796925 Timing: Time: 71.000 μs (14.085 kHz)
1796925-1797099 Timing: Time: 87.000 μs (11.494 kHz)
1797099-1797206 Timing: Time: 53.500 μs (18.692 kHz)
1797206-1797254 Timing: Time: 24.000 μs (41.667 kHz)
1797254-1797361 Timing: Time: 53.500 μs (18.692 kHz)
1797361-1797502 Timing: Time: 70.500 μs (14.184 kHz)
1797502-1797609 Timing: Time: 53.500 μs (18.692 kHz)
1797609-1797657 Timing: Time: 24.000 μs (41.667 kHz)
1797657-1797764 Timing: Time: 53.500 μs (18.692 kHz)
1797764-1797812 Timing: Time: 24.000 μs (41.667 kHz)
1797812-1797920 Timing: Time: 54.000 μs (18.519 kHz)
1797920-1797967 Timing: Time: 23.500 μs (42.553 kHz)
1797967-1798075 Timing: Time: 54.000 μs (18.519 kHz)
1798075-1798216 Timing: Time: 70.500 μs (14.184 kHz)
1798216-1798323 Timing: Time: 53.500 μs (18.692 kHz)
1798323-1798371 Timing: Time: 24.000 μs (41.667 kHz)
1798371-1798478 Timing: Time: 53.500 μs (18.692 kHz)
1798478-1798528 Timing: Time: 25.000 μs (40.000 kHz)
1798528-1798635 Timing: Time: 53.500 μs (18.692 kHz)
1798635-1798683 Timing: Time: 24.000 μs (41.667 kHz)
1798683-1798790 Timing: Time: 53.500 μs (18.692 kHz)
1798790-1798838 Timing: Time: 24.000 μs (41.667 kHz)
1798838-1798946 Timing: Time: 54.000 μs (18.519 kHz)
1798946-1798994 Timing: Time: 24.000 μs (41.667 kHz)
1798994-1799101 Timing: Time: 53.500 μs (18.692 kHz)
1799101-1799149 Timing: Time: 24.000 μs (41.667 kHz)
1799149-1799256 Timing: Time: 53.500 μs (18.692 kHz)
1799256-1799304 Timing: Time: 24.000 μs (41.667 kHz)
1799304-1799411 Timing: Time: 53.500 μs (18.692 kHz)
1799411-1799459 Timing: Time: 24.000 μs (41.667 kHz)
1799459-1799567 Timing: Time: 54.000 μs (18.519 kHz)
1799567-1799614 Timing: Time: 23.500 μs (42.553 kHz)
1799614-1799722 Timing: Time: 54.000 μs (18.519 kHz)
1799722-1799772 Timing: Time: 25.000 μs (40.000 kHz)
1799772-1799879 Timing: Time: 53.500 μs (18.692 kHz)
1799879-1799927 Timing: Time: 24.000 μs (41.667 kHz)
1799927-1800034 Timing: Time: 53.500 μs (18.692 kHz)
1800034-1800082 Timing: Time: 24.000 μs (41.667 kHz)
1800082-1800189 Timing: Time: 53.500 μs (18.692 kHz)
1800189-1800237 Timing: Time: 24.000 μs (41.667 kHz)
1800237-1800344 Timing: Time: 53.500 μs (18.692 kHz)
1800344-1800485 Timing: Time: 70.500 μs (14.184 kHz)
1800485-1800592 Timing: Time: 53.500 μs (18.692 kHz)
1800592-1800733 Timing: Time: 70.500 μs (14.184 kHz)
1800733-1800840 Timing: Time: 53.500 μs (18.692 kHz)
1800840-1800981 Timing: Time: 70.500 μs (14.184 kHz)
1800981-1801089 Timing: Time: 54.000 μs (18.519 kHz)
1801089-1801230 Timing: Time: 70.500 μs (14.184 kHz)
1801230-1801337 Timing: Time: 53.500 μs (18.692 kHz)
1801337-1801387 Timing: Time: 25.000 μs (40.000 kHz)
1801387-1801494 Timing: Time: 53.500 μs (18.692 kHz)
1801494-1801542 Timing: Time: 24.000 μs (41.667 kHz)
1801542-1801649 Timing: Time: 53.500 μs (18.692 kHz)
1801649-1801697 Timing: Time: 24.000 μs (41.667 kHz)
1801697-1801804 Timing: Time: 53.500 μs (18.692 kHz)
1801804-1801852 Timing: Time: 24.000 μs (41.667 kHz)
1801852-1801960 Timing: Time: 54.000 μs (18.519 kHz)
1801960-1802008 Timing: Time: 24.000 μs (41.667 kHz)
1802008-1802115 Timing: Time: 53.500 μs (18.692 kHz)
1802115-1802163 Timing: Time: 24.000 μs (41.667 kHz)
1802163-1802270 Timing: Time: 53.500 μs (18.692 kHz)
1802270-1802318 Timing: Time: 24.000 μs (41.667 kHz)
1802318-1802425 Timing: Time: 53.500 μs (18.692 kHz)
1802425-1802566 Timing: Time: 70.500 μs (14.184 kHz)
1802566-1802673 Timing: Time: 53.500 μs (18.692 kHz)
1802673-1802723 Timing: Time: 25.000 μs (40.000 kHz)
1802723-1802831 Timing: Time: 54.000 μs (18.519 kHz)
1802831-1802878 Timing: Time: 23.500 μs (42.553 kHz)
1802878-1802986 Timing: Time: 54.000 μs (18.519 kHz)
1802986-1803126 Timing: Time: 70.000 μs (14.286 kHz)
1803126-1803234 Timing: Time: 54.000 μs (18.519 kHz)
1803234-1803375 Timing: Time: 70.500 μs (14.184 kHz)
1803375-1803482 Timing: Time: 53.500 μs (18.692 kHz)
1803482-1803530 Timing: Time: 24.000 μs (41.667 kHz)
1803530-1803637 Timing: Time: 53.500 μs (18.692 kHz)
1803637-1803685 Timing: Time: 24.000 μs (41.667 kHz)
1803685-1803792 Timing: Time: 53.500 μs (18.692 kHz)
1803792-1803933 Timing: Time: 70.500 μs (14.184 kHz)
1803933-1804041 Timing: Time: 54.000 μs (18.519 kHz)
1804041-1804088 Timing: Time: 23.500 μs (42.553 kHz)
1804088-1804196 Timing: Time: 54.000 μs (18.519 kHz)
1804196-1804242 Timing: Time: 23.000 μs (43.478 kHz)
1804242-1804350 Timing: Time: 54.000 μs (18.519 kHz)
